Round	Start	End	Benchmark_Elapsed	Tuning_overhead
31	1765596971.4370327	1765597113.1588836	141.7218508720398	1765596971.4370327
32	1765597113.2527223	1765597258.376904	145.12418174743652	0.09383869171142578
33	1765597258.4719276	1765597281.8413243	23.369396686553955	0.09502363204956055
34	1765597281.936731	1765597441.2237043	159.28697323799133	0.09540677070617676
35	1765597441.3208127	1765597464.411374	23.090561389923096	0.09710836410522461
36	1765597464.5100946	1765597487.4810894	22.97099471092224	0.09872055053710938
37	1765597487.5809054	1765597800.9180255	313.33712005615234	0.09981608390808105
38	1765597801.0167415	1765597946.9081836	145.89144206047058	0.09871602058410645
39	1765597950.5243077	1765598090.1184258	139.59411811828613	3.616124153137207
40	1765598090.2203486	1765598230.0178082	139.79745960235596	0.10192275047302246
41	1765598230.117697	1765598253.391039	23.27334189414978	0.09988880157470703
42	1765598253.4947486	1765598393.51845	140.02370142936707	0.10370969772338867
43	1765598393.6221426	1765598534.7751324	141.15298986434937	0.10369253158569336
44	1765598534.880831	1765598680.5485768	145.66774582862854	0.1056985855102539
45	1765598680.6594276	1765598887.5487332	206.88930559158325	0.11085081100463867
46	1765598887.6583216	1765599034.3427773	146.68445563316345	0.1095883846282959
47	1765599038.1073825	1765599178.230772	140.12338948249817	3.7646052837371826
48	1765599178.3427687	1765599318.5282862	140.18551754951477	0.11199665069580078
49	1765599318.6387746	1765599524.1336176	205.49484300613403	0.1104884147644043
50	1765599524.2076478	1765599768.5915487	244.3839008808136	0.07403016090393066
51	1765599768.7521124	1765599799.564449	30.812336683273315	0.16056370735168457
52	1765599799.6912885	1765599822.6432025	22.951914072036743	0.12683939933776855
53	1765599822.763448	1765599845.7261353	22.962687253952026	0.12024545669555664
54	1765599845.8547475	1765599988.110229	142.25548148155212	0.12861227989196777
55	1765599991.950926	1765600132.0905328	140.13960671424866	3.8406970500946045
56	1765600132.2105815	1765600274.7018166	142.4912350177765	0.12004876136779785
57	1765600274.8230321	1765600298.0752912	23.252259016036987	0.1212155818939209
58	1765600298.1997228	1765600321.1879506	22.98822784423828	0.12443161010742188
59	1765600321.3130004	1765600344.3059742	22.992973804473877	0.12504982948303223
60	1765600344.4269435	1765600482.6588871	138.23194360733032	0.12096929550170898
61	1765600482.7871401	1765600688.1916094	205.4044692516327	0.12825298309326172
62	1765600688.318502	1765600830.5364368	142.21793484687805	0.1268925666809082
63	1765600834.3544016	1765600977.749989	143.39558744430542	3.817964792251587
64	1765600977.8789635	1765601118.806729	140.92776560783386	0.12897443771362305
65	1765601118.9291534	1765601264.942993	146.0138394832611	0.12242436408996582
66	1765601265.0743332	1765601410.1749866	145.10065340995789	0.13134026527404785
67	1765601410.307557	1765601548.9058936	138.59833645820618	0.13257050514221191
68	1765601549.041165	1765601690.9074936	141.8663284778595	0.13527154922485352
69	1765601691.042299	1765601916.2786727	225.2363736629486	0.13480544090270996
70	1765601916.4141922	1765602066.6353524	150.22116017341614	0.13551950454711914
71	1765602070.5229988	1765602270.1064336	199.58343482017517	3.887646436691284
72	1765602270.2448215	1765602478.9497006	208.70487904548645	0.13838791847229004
73	1765602479.088879	1765602679.8320515	200.74317240715027	0.13917851448059082
74	1765602679.9724128	1765602837.6156242	157.6432113647461	0.14036130905151367
75	1765602837.7582781	1765603149.9045594	312.1462812423706	0.1426539421081543
76	1765603150.0442352	1765603304.397317	154.35308170318604	0.13967585563659668
77	1765603304.5162976	1765603456.6326377	152.11634016036987	0.11898064613342285
78	1765603456.7788649	1765603627.698821	170.9199562072754	0.14622712135314941
79	1765603631.3809648	1765603772.1034281	140.7224633693695	3.6821436882019043
80	1765603772.2504134	1765603939.5284607	167.27804732322693	0.14698529243469238
81	1765603939.6231308	1765604143.5940888	203.97095799446106	0.09467005729675293
82	1765604143.7016933	1765604283.0146606	139.31296730041504	0.1076045036315918
83	1765604283.152149	1765604424.8309627	141.6788136959076	0.13748836517333984
84	1765604424.9397404	1765604566.5609581	141.62121772766113	0.10877776145935059
85	1765604566.715546	1765604707.587621	140.87207508087158	0.1545877456665039
86	1765604707.742506	1765604730.9985595	23.25605344772339	0.15488505363464355
87	1765604734.8432994	1765604757.826354	22.983054637908936	3.8447399139404297
88	1765604757.9809406	1765604905.20441	147.22346949577332	0.1545865535736084
89	1765604905.3606877	1765605047.419376	142.05868816375732	0.15627765655517578
90	1765605047.5756297	1765605186.3761394	138.8005096912384	0.15625381469726562
91	1765605186.5345693	1765605209.800973	23.266403675079346	0.15842986106872559
92	1765605209.9589002	1765605232.9321954	22.973295211791992	0.1579272747039795
93	1765605233.0883198	1765605373.9750352	140.8867154121399	0.15612435340881348
94	1765605374.1355286	1765605517.5395772	143.40404868125916	0.1604933738708496
95	1765605517.8176808	1765605541.1071646	23.289483785629272	0.2781035900115967
96	1765605544.8647294	1765605684.4913914	139.62666201591492	3.7575647830963135
97	1765605684.639067	1765605823.2393336	138.60026669502258	0.1476755142211914
98	1765605823.4058845	1765605963.6501656	140.2442810535431	0.166550874710083
99	1765605963.8182926	1765605987.0713544	23.253061771392822	0.16812705993652344
100	1765605987.2397456	1765606128.047484	140.80773830413818	0.16839122772216797
101	1765606128.2174	1765606269.7968287	141.57942867279053	0.16991615295410156
102	1765606269.9687386	1765606293.2591398	23.290401220321655	0.17190980911254883
103	1765606293.556513	1765606501.8812408	208.32472777366638	0.29737329483032227
104	1765606505.584067	1765606634.48164	128.89757299423218	3.7028262615203857
105	1765606634.6568897	1765606774.7252343	140.0683445930481	0.17524957656860352
106	1765606774.904479	1765606924.6493394	149.7448604106903	0.1792447566986084
107	1765606924.7854068	1765607067.306666	142.52125906944275	0.13606739044189453
108	1765607067.487204	1765607210.878234	143.39102983474731	0.18053817749023438
109	1765607211.0567243	1765607352.0296679	140.97294354438782	0.17849040031433105
110	1765607352.2085228	1765607497.7477612	145.53923845291138	0.17885494232177734
